Rank_year,Rank_yearPrev,Company,Notes,Country,ArmsRevenue_year,ArmsRevenue_yearPrev,TotalRevenue_year,ArmsRevenue_pctTotRevenue_year,ArmsRevenue_yearPrev_constant2022Prices,Year
81,82,Curtiss-Wright Corp.,United States,1380,1260,2506,0.5506783719074222,1491.1221744505747,1425.4188166740837,2021
82,98,CAE,Canada,1280,910,2688,0.47619047619047616,1318.4431320506883,1036.3928670067405,2021
83,84,Moog,United States,1250,1200,2852,0.438288920056101,1350.6541435240713,1357.541730165794,2021
84,86,Hanwha Corp.,South Korea,1240,1170,3441,0.36036036036036034,1158.7088856214539,1155.7234049156195,2021
85,107,Turkish Aerospace Industries,Türkiye,1200,800,1396,0.8595988538681948,1109.2323568687468,702.4604411643713,2021
86,90,Amphenol Corp.,United States,1200,1030,10876,0.11033468186833395,1296.6279777831085,1165.2233183923065,2021
87,70,Melrose Industries,United Kingdom,1190,1470,10311,0.11541072640868975,1163.8859725747284,1581.403502337694,2021
88,100,Kongsberg Gruppen,Norway,1170,900,3194,0.36631183469004386,1095.3153544167867,955.7152469721118,2021
89,88,Ball Corp.,United States,1090,1080,13811,0.07892259792918688,1177.7704131529902,1221.7875571492145,2021
90,103,Navantia,Spain,1080,870,1544,0.6994818652849741,1045.372617567124,900.6986652864746,2021
91,68,Cobham,United Kingdom,1040,1650,1737,0.5987334484743811,1017.1776567039644,1775.0447475219014,2021
92,93,The Aerospace Corp.,United States,1030,1000,1160,0.8879310344827587,1112.9390142638347,1131.2847751381616,2021
93,87,Pacific Architects and Engineers,United States,980,1090,2914,0.33630748112560055,1058.9128485228719,1233.1004049005962,2021
94,95,ViaSat,United States,980,960,2787,0.351632579834948,1058.9128485228719,1086.033384132635,2021
95,101,Mitre Corp.,United States,970,900,2100,0.46190476190476193,1048.1076153746792,1018.1562976243455,2021
96,99,Mercury Systems,United States,960,910,988,0.97165991902834,1037.3023822264868,1029.469145375727,2021
97,92,Howmet Aerospace,United States,950,1020,4972,0.1910699919549477,1026.4971490782941,1153.9104706409248,2021
98,96,Austal,Australia,940,920,1074,0.8752327746741154,924.9575986231642,1015.7953441822626,2021
99,109,Diehl,Germany,870,750,3745,0.23230974632843793,839.1779968317719,774.1388899273353,2021
100,94,Meggitt,United Kingdom,850,980,2048,0.4150390625,831.3471232676632,1054.2690015584626,2021
1,1,Lockheed Martin Corp.,United States,58210,53230,65398,0.8900883819077036,65852.08676079239,60961.131992257586,2020
2,-,Raytheon Technologies,United States,36780,. .,56587,0.6499726085496669,41608.65402958159,. .,2020
3,2,Boeing,United States,32740,32450,58158,0.5629492073317515,37038.26353802341,37163.042140686804,2020
4,3,Northrop Grumman Corp.,United States,30420,29220,36799,0.8266528981765808,34413.68285970288,33463.91652853216,2020
5,4,General Dynamics Corp.,United States,27230,26560,37925,0.7179960448253131,30804.88442701214,30417.57778911068,2020
6,6,BAE Systems,United Kingdom,25170,23330,25864,0.9731673368388494,27077.500784925003,25476.380414369374,2020
7,9,NORINCO,China,17930,15580,70997,0.2525458822203755,18976.093465633054,16902.60601775147,2020
8,7,Rostec,Russia,17160,18860,25973,0.6606860971008355,21563.55637223336,21916.76967682744,2020
9,8,AVIC,China,16980,16710,67923,0.24998895808489024,17970.667431480717,18128.533155110854,2020
10,11,CASC,China,16880,14480,38731,0.43582659884846764,17864.833112096258,15709.225618552073,2020
11,10,CETC,China,14610,15090,34302,0.4259226867238062,15462.394062069096,16371.00929447174,2020
12,12,L3Harris Technologies,United States,14190,13920,18194,0.7799274486094316,16052.930959210513,15941.742576220657,2020
13,15,Airbus,Trans-European,11990,11290,56893,0.21074648902325419,12138.603498737632,11694.299561845195,2020
14,14,CASIC,China,11870,11850,37686,0.3149710767924428,12562.533710934988,12855.961573193514,2020
15,16,Leonardo,Italy,11160,11110,15286,0.7300798115923067,11407.760222560948,11546.553311479549,2020
16,40,CSSC,China,9370,3310,46540,0.2013321873657069,9916.675726323576,3590.990110318188,2020
17,18,Thales,France,9050,9390,19365,0.4673379808933643,8980.743646584526,9532.227334398962,2020
18,19,Huntington Ingalls Industries,United States,8240,7740,9361,0.8802478367695759,9321.786547138452,8864.158587639935,2020
19,20,Leidos,United States,7340,6300,12297,0.5968935512726681,8303.630249514106,7215.01280389297,2020
20,17,Almaz-Antey,Russia,6040,9420,6571,0.9191903819814335,7589.969725424796,10946.764069762168,2020
21,22,Honeywell International,United States,5790,5330,32637,0.17740601158194688,6550.138848049955,6104.129880118973,2020
22,23,Booz Allen Hamilton,United States,5500,5140,7859,0.6998345845527421,6222.066263259889,5886.5342558745815,2020
23,26,CSGC,China,5360,4610,33859,0.15830355296966833,5672.719519006869,5001.348763917476,2020
24,25,Rolls-Royce,United Kingdom,4870,4710,15159,0.32126129691932187,5239.071466928278,5143.324121375043,2020
25,24,EDGE,United Arab Emirates,4750,4750,5000,0.95,5129.363708442785,5044.7749740989075,2020
26,28,General Electric,United States,4570,4390,76619,0.059645779767420616,5169.971422381399,5027.604160173038,2020
27,35,Safran,France,4510,3550,18805,0.23982983249135867,4475.48661282831,3603.770717477776,2020
28,34,Mitsubishi Heavy Industries,Japan,4420,3910,34657,0.1275355628011657,3655.818990265668,3301.6910796799034,2020
29,33,Rheinmetall,Germany,4240,3940,6697,0.6331193071524563,4376.465191055869,4161.495208510011,2020
30,31,Elbit Systems,Israel,4240,4060,4663,0.9092858674672958,4608.000458218633,4544.528953659874,2020
31,32,CACI International,United States,4190,4000,6044,0.6932495036399735,4740.083207828897,4580.960510408235,2020
32,30,MBDA,Trans-European,4050,4100,4094,0.9892525647288715,4100.195510415963,4246.822692964154,2020
33,29,Naval Group,France,3750,4110,3788,0.9899683210137276,3721.302615988063,4172.252858826383,2020
34,21,Dassault Aviation Group,France,3720,5760,6257,0.5945341217836023,3691.5321950601583,5847.244882442814,2020
35,27,United Shipbuilding Corp.,Russia,3700,4500,4682,0.7902605724049552,4649.484765574792,5229.345893198488,2020
36,39,Textron,United States,3530,3310,11651,0.30297828512574027,3993.4352562377103,3790.7448223628144,2020
37,46,Israel Aerospace Industries,Israel,3510,3080,4184,0.8389101338432122,3814.64188876118,3447.573688983353,2020
38,37,Sandia National Laboratories,United States,3430,3340,3919,0.875223271242664,3880.3067787238942,3825.102026190876,2020
39,42,Saab,Sweden,3390,3190,3848,0.8809771309771309,3381.807356440505,3283.9062998309123,2020
40,38,Science Applications International Corp.,United States,3320,3320,7056,0.47052154195011336,3755.8654534586967,3802.197223638835,2020
41,36,Tactical Missiles Corp.,Russia,3250,3480,3319,0.9792106056040977,4084.00688868056,4044.027490740164,2020
42,44,Perspecta,United States,3160,3110,4512,0.700354609929078,3574.8598894365905,3561.696796842403,2020
43,-,Amentum,United States,3090,. .,4118,0.7503642544924721,3495.6699551769193,. .,2020
44,43,KBR,United States,3090,3180,5767,0.5358071787757933,3495.6699551769193,3641.8636057745466,2020
45,47,Hindustan Aeronautics,India,2970,2930,3124,0.9507042253521126,3144.4923832119184,3146.7818907996348,2020
46,41,Babcock International Group,United Kingdom,2850,3240,5092,0.5597014925373134,3065.986382083284,3538.082835086017,2020
